"","id","sport_id","name","home_team_type","container","league_specials_count","event_specials_count","event_count","has_offerings","homeTeamType"
"2175",220823,1,"Australia - NPL Tasmania Corners","Team1","Australia",0,0,0,FALSE,"Team1"
"2176",216550,1,"Brazil - Brasiliense Women","Team1","Brazil",0,0,0,FALSE,"Team1"
"2177",258097,1,"Malta - Challenge League Cup - Bookings","Team1","Malta",0,0,0,FALSE,"Team1"
"2178",226745,1,"Mexico - U23 League","Team1","Mexico",0,0,0,FALSE,"Team1"
"2179",48006,1,"International - Friendlies U21 Corners","Team1","World",0,0,0,FALSE,"Team1"
"2180",224985,1,"Brazil - Brasileiro U20 Corners","Team1","Brazil",0,0,0,FALSE,"Team1"
"2181",206788,1,"CONCACAF - Olympic Qualifiers Women","Team1","North America",0,0,0,FALSE,"Team1"
"2182",6428,1,"Switzerland - Super League Corners","Team1","Switzerland",0,0,0,FALSE,"Team1"
"2183",198045,1,"Morocco - Botola Pro Corners","Team1","Morocco",0,0,0,FALSE,"Team1"
"2184",220544,1,"Japan - J3 League Corners","Team1","Japan",0,0,0,FALSE,"Team1"
"2185",6543,1,"Germany - Regionalliga South West","Team1","Germany",0,0,0,FALSE,"Team1"
"2186",222328,1,"Czech Republic - 2. Liga Women","Team1","Czech Republic",0,0,0,FALSE,"Team1"
"2187",217333,1,"Turkey - 3rd League Group 3","Team1","Turkey",0,0,0,FALSE,"Team1"
"2188",9429,1,"Russia - Youth Championship U19","Team1","Russian Federation",0,0,0,FALSE,"Team1"
"2189",198033,1,"India - Super League Corners","Team1","India",0,0,0,FALSE,"Team1"
"2190",1715,1,"CAF - Champions League","Team1","Africa",0,0,0,FALSE,"Team1"
"2191",217342,1,"Uganda - Division 2","Team1","Uganda",0,0,0,FALSE,"Team1"
"2192",208875,1,"Chinese Taipei - Mulan Football League Women","Team1","Taiwan",0,0,0,FALSE,"Team1"
"2193",210903,1,"Brazil - Paulista U20","Team1","Brazil",0,0,0,FALSE,"Team1"
"2194",209883,1,"Estonia - II Liiga","Team1","Estonia",0,0,0,FALSE,"Team1"
"2195",204152,1,"Australia - FFV Community Shield","Team1","Australia",0,0,0,FALSE,"Team1"
"2196",2409,1,"Russia - Cup","Team1","Russian Federation",0,0,0,FALSE,"Team1"
"2197",225898,1,"Brazil - Matogrossense U20","Team1","Brazil",0,0,0,FALSE,"Team1"
"2198",221873,1,"WAFF - Women's Championship","Team1","Asia",0,0,0,FALSE,"Team1"
"2199",215521,1,"France - National 3","Team1","France",0,0,0,FALSE,"Team1"
"2200",203872,1,"Vietnam - U19 Championship","Team1","Vietnam",0,0,0,FALSE,"Team1"
"2201",201696,1,"International - Baltic Cup Corners","Team1","Belgium",0,0,0,FALSE,"Team1"
"2202",199972,1,"Kenya - Shield Cup","Team1","Kenya",0,0,0,FALSE,"Team1"
"2203",218098,1,"Israel - Liga Leumit U19","Team1","Israel",0,0,0,FALSE,"Team1"
"2204",242216,1,"USA - USL Super League Women","Team1","USA",0,0,0,FALSE,"Team1"
"2205",2178,1,"International - Kings Cup","Team1","Thailand",0,0,0,FALSE,"Team1"
"2206",1863,1,"Club Friendlies","Team1","World",0,0,0,FALSE,"Team1"
"2207",1957,1,"England - League 1","Team1","England",0,0,12,TRUE,"Team1"
"2208",185632,1,"Brazil - Serie B Corners","Team1","Brazil",0,0,7,TRUE,"Team1"
"2209",2264,1,"New Zealand - National League","Team1","New Zealand",0,0,0,FALSE,"Team1"
"2210",2033,1,"France - Feminine Division 1","Team1","France",0,0,0,FALSE,"Team1"
"2211",6323,1,"International - Friendlies Corners","Team1","World",0,0,0,FALSE,"Team1"
"2212",209023,1,"Germany - Bundesliga 2 Bookings","Team1","Germany",0,0,0,FALSE,"Team1"
"2213",10780,1,"Brazil - Goiano","Team1","Brazil",0,0,0,FALSE,"Team1"
"2214",1880,1,"Croatia - HNL","Team1","Croatia",0,0,4,TRUE,"Team1"
"2215",9809,1,"Hong Kong - Premier League","Team1","Hong Kong",0,0,0,FALSE,"Team1"
"2216",10748,1,"Gibraltar - Football League","Team1","Gibraltar",0,0,0,FALSE,"Team1"
"2217",8653,1,"Australia - NSW Cup","Team1","Australia",0,0,0,FALSE,"Team1"
"2218",6325,1,"Germany - Cup Corners","Team1","Germany",0,0,0,FALSE,"Team1"
"2219",219500,1,"Australia - Queensland Premier League U23","Team1","Australia",0,0,0,FALSE,"Team1"
"2220",221688,1,"Slovakia - 4. Liga","Team1","Slovakia",0,0,0,FALSE,"Team1"
